,package_look1,SQ2,package_yes2,home_lh,bk_regularly1,BA4,c6_10_1,c6_3_1,health1,pay,SQ1,h1_9_1,safery_grain1,natural_helpful,A19,effect_job1,effect_rice1,five_nutrient1,h1_6_2,solo_eat1,satisfy1,diet1,rice_helpful1,eat_bk,various_food1,h1_13_1,c6_4_2,h1_2_2,A11_1,SQ7,BA2,BA2_1
0,1,74,1,0,1,2,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,2
1,0,47,0,0,0,2,0,1,0,1,2,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,3,1,5,6
2,1,47,0,1,1,2,0,0,1,6,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,2,1,5,6
3,1,66,0,0,1,1,0,1,1,1,2,1,1,1,2,1,0,1,0,1,1,1,1,1,1,0,1,1,2,1,2,1
4,1,62,0,0,1,2,0,0,0,2,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,4,1,2,2
5,0,67,0,0,1,2,0,1,1,1,2,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,2,3
6,0,24,0,0,1,1,0,1,1,3,2,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,2,1,2,2
7,0,48,0,0,1,2,0,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,2,1,4,3
8,0,48,0,1,1,1,0,1,1,6,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,2,1,4,3
9,0,47,0,0,1,1,0,1,1,1,2,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,2,1,3,3
10,1,47,0,0,1,1,0,1,1,5,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,3,3
11,0,48,0,0,0,1,0,0,0,3,2,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,2,1,5,4
12,1,48,0,0,0,2,0,1,1,5,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,2,1,5,4
13,0,21,1,0,0,2,0,1,0,2,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,2,2
14,1,63,0,0,0,2,0,1,1,4,2,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,4,1,3,5
15,0,54,0,0,0,1,0,1,1,6,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,4,5
16,0,43,1,0,1,2,0,1,1,4,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,7,8
17,1,46,0,0,0,2,0,1,1,7,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,4,1,7,8
18,1,38,0,0,0,2,0,1,1,5,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,3,3
19,1,72,0,0,1,1,0,1,0,1,2,1,1,1,2,1,1,1,1,1,1,0,1,1,0,0,1,0,4,1,1,3
20,0,54,1,1,1,1,0,1,1,8,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,2,1,5,3
21,1,51,1,0,0,1,1,1,1,10,2,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,2,1,6,6
22,1,56,0,0,0,2,0,0,1,10,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,2,1,6,6
23,0,28,0,0,1,1,0,0,1,6,2,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,6,6
24,0,30,0,1,0,2,1,1,1,4,2,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,4,2,3,3
25,0,60,0,0,1,2,0,0,0,2,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,2,1,5,3
26,0,52,0,0,1,1,0,0,1,8,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,5,3
27,0,54,0,1,0,2,0,0,1,9,2,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,4,1,5,3
28,1,47,1,0,0,2,0,0,1,9,2,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,2,1,6,6
29,0,56,0,1,1,2,0,0,1,5,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,5,3
30,1,26,1,1,1,2,0,0,1,4,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,2,1,3,2
31,0,49,0,0,0,2,0,0,1,9,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,2,1,6,6
32,0,50,0,0,1,2,0,0,1,8,2,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,4,1,5,3
33,0,20,0,1,1,2,0,0,1,1,2,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,6,6
34,1,52,0,0,1,2,1,1,1,3,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,6,8
35,1,52,0,0,1,2,0,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,6,8
36,0,41,1,0,0,1,0,0,1,4,2,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,3,5
37,0,44,0,0,0,1,0,0,1,3,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,3,5
38,0,53,0,0,1,2,0,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,2,2
39,1,32,0,1,0,2,0,1,1,4,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,4,2,3,4
40,1,62,0,0,1,2,0,0,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2
41,0,52,0,0,1,1,0,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2
42,1,48,1,1,1,2,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3
43,1,37,1,1,0,2,0,1,1,5,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,2,3,3
44,1,38,0,1,1,2,1,1,1,5,2,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,2,3,3
45,1,35,0,1,1,2,1,1,1,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3
46,0,32,0,1,1,2,1,1,1,4,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,2,3,3
47,1,51,0,0,1,1,0,0,1,6,1,1,1,1,2,1,1,1,1,0,1,0,1,1,1,1,1,0,4,1,4,3
48,0,48,0,0,1,1,0,1,0,5,2,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,2,1,3,3
49,1,51,0,0,1,2,1,1,1,6,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,4,1,4,3
50,1,48,1,0,1,1,0,0,1,3,2,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,2,1,3,4
51,0,23,0,0,1,2,0,0,1,3,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,3,4
52,1,38,0,0,1,2,0,1,1,7,2,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,0,4,1,4,4
53,1,39,1,0,1,2,0,1,1,7,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,4,1,4,4
54,1,52,0,0,0,2,0,0,0,1,2,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,2,1,4,5
55,1,41,0,0,1,2,0,1,1,3,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,4,1,6,6
56,0,43,0,0,1,2,0,0,0,6,2,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,4,1,5,3
57,1,54,0,1,0,2,0,0,1,4,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,4,5
58,1,43,0,0,1,1,0,1,1,7,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,6,6
59,0,47,0,0,1,2,0,0,1,8,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,4,1,5,3
60,0,25,1,0,1,2,0,0,1,5,2,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,4,5
61,0,45,1,0,1,2,0,1,0,7,2,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,4,1,4,3
62,1,53,1,0,1,1,0,1,1,5,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,6,6
63,0,48,0,0,0,1,0,0,1,7,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,4,1,4,3
64,1,21,0,0,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,6,6
65,1,67,0,0,0,2,0,1,0,5,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,3,4
66,1,29,0,1,1,2,1,1,1,4,2,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,4,2,3,3
67,1,31,0,1,1,2,1,1,1,3,2,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,4,2,3,3
68,1,53,0,0,0,1,0,1,1,10,2,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,4,1,6,6
69,1,31,0,0,0,2,0,1,1,5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,4,1,6,6
70,1,35,0,1,1,1,1,1,0,5,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,4,2,3,3
71,0,34,0,1,1,2,1,1,1,5,2,0,1,1,2,1,1,0,0,1,1,1,1,1,1,1,1,1,1,2,3,4
72,1,65,0,0,1,2,0,0,0,4,2,1,1,1,2,1,0,1,1,0,0,0,1,1,0,0,1,0,2,1,3,2
73,0,73,0,0,1,1,0,0,1,4,1,1,1,1,2,1,0,1,1,0,1,0,0,1,0,0,1,0,2,1,3,2
74,1,70,0,0,1,2,0,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1
75,1,32,0,1,1,2,1,1,1,5,2,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,2,2,3,4
76,1,65,0,0,1,1,0,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,2,2
77,0,26,0,0,1,1,0,1,1,2,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2
78,0,48,1,0,1,2,0,1,0,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,3
79,1,38,0,1,1,1,1,0,1,5,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,5,7
80,0,41,0,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,5,7
81,1,58,0,0,0,2,0,0,1,3,2,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,5,4
82,1,37,0,1,1,1,1,1,1,6,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,4,1,4,4
83,1,38,0,1,1,1,1,1,1,6,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,4,2,4,3
84,0,35,0,0,1,1,1,1,1,5,2,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,3,2,3,3
85,0,29,0,0,1,2,1,1,1,4,2,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,4,2,3,3
86,1,55,0,0,1,2,0,0,1,6,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,3,1,4,4
87,0,68,0,1,1,1,0,0,1,4,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,4,1,3,4
88,0,67,0,0,1,1,0,0,1,1,2,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,4,1,3,4
89,0,30,0,0,0,2,0,0,0,6,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,4,1,4,2
90,1,38,0,0,1,2,0,1,1,5,2,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,6,7
91,1,39,0,0,1,2,0,1,1,6,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,6,7
92,0,71,0,0,1,2,0,0,0,1,2,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,4,1,1,3
93,0,69,0,0,1,2,0,0,0,1,2,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,2,3
